2022-05-19 17:05:769 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:685 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (19bbe63fc40269661b2602701fd98143)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 17:05:491 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:744 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (1281a515fc1c7afdcb2c91dc0283dcae)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 17:05:820 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:481 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:677 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (8c3756e9c35f50fba8fd98989c017701)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 17:05:913 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:396 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:644 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (cf84c65f83db0f42733c05296d33c75a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:349 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:75 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (7adc79e810da15d8c9dc72f3ad0c84fc)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:949 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:677 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:352 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:821 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:232 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (e9314afc32b514f78391ee65e9e01a3c)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:648 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:79 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (f2d9b033f9c298d33ecf62944b81b05b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:55 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:727 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (76fd09ecd3b5df80104322fe8395b8c2)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:878 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (76fd09ecd3b5df80104322fe8395b8c2)] -> link text: Search Cars]
2022-05-19 20:05:28 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:805 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:140 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:899 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:887 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (7b586f8170e1d051c7e26b8f704a7f52)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:154 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (7b586f8170e1d051c7e26b8f704a7f52)] -> link text: Search Cars]
2022-05-19 20:05:786 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:169 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (1d24dbec71b510730219e5de2e3e893a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:410 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (1d24dbec71b510730219e5de2e3e893a)] -> link text: Search Cars]
2022-05-19 20:05:41 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:945 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (74a93ee7aa5d2c8678124ac699105d3e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:627 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (74a93ee7aa5d2c8678124ac699105d3e)] -> link text: Search Cars]
2022-05-19 20:05:02 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:967 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:189 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:631 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:686 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:847 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:841 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (46248297f4b6372c19e429c0e28de462)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:363 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (46248297f4b6372c19e429c0e28de462)] -> link text: Search Cars]
2022-05-19 20:05:95 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:199 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (6122e09b5682af74a6050968a53eb988)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:21 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:157 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (0e86b468b93f3155d9f868c8a6a46896)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:548 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (0e86b468b93f3155d9f868c8a6a46896)] -> link text: Search Cars]
2022-05-19 20:05:697 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:190 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:769 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:106 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:662 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (b0fb35ab5da4c45296fe58300c458ed8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:880 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (b0fb35ab5da4c45296fe58300c458ed8)] -> link text: Search Cars]
2022-05-19 20:05:759 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:648 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (cc3ce6e0aa2b5bcadfa80e1e8e9c18f0)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:437 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (cc3ce6e0aa2b5bcadfa80e1e8e9c18f0)] -> link text: Search Cars]
2022-05-19 20:05:264 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:589 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:428 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (5664ad09cdf0be74cb1860fd901280cf)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:578 INFO  HomePage :34 - click On SearchCars : [[ChromeDriver: chrome on WINDOWS (5664ad09cdf0be74cb1860fd901280cf)] -> link text: Search Cars]
2022-05-19 20:05:719 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:605 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:120 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:330 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:205 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 20:05:547 INFO  HomePage :30 - click On BuySell : [[ChromeDriver: chrome on WINDOWS (9b5b1cb42f07eb87b56ccc9a00360c7f)] -> xpath: //a[contains(text(),'buy + sell')]]
